First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip,Property Address,Property City,Property State,Property Zip,Lead Type,Document Type,Date Filed,Document Number,Amount/Debt Owed,Seller Score,Motivated Seller Flags,Source,Public Records URL,Parcel Number,Appraised Value,Delinquent Taxes,Delinquent Amount,Homestead Exemption,Out-of-State Owner,Neighborhood,Violation Status,Violation Description,Violation Severity
,,,,OH,,7610 Colgate Ave,Cleveland,OH,44102,Condemned Property,CONDEMN,10/10/2025,CONDEMN-006-07-044,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,006-07-044,,No,,No,No,Detroit Shoreway,Condemned,,
,,,,OH,,2182 E 35Th St,Cleveland,OH,44115,Condemned Property,CONDEMN,10/09/2025,CONDEMN-103-21-092,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,103-21-092,,No,,No,No,Central,Condemned,,
,,,,OH,,3519 E 104Th St,Cleveland,OH,44105,Condemned Property,CONDEMN,10/09/2025,CONDEMN-135-07-054,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,135-07-054,,No,,No,No,Union-Miles,Condemned,,
,,,,OH,,4686 W 130Th St,Cleveland,OH,44135,Condemned Property,CONDEMN,10/07/2025,CONDEMN-020-04-170,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,020-04-170,,No,,No,No,Bellaire-Puritas,Condemned,,
,,,,OH,,5901 Prosser Ave,Cleveland,OH,44103,Condemned Property,CONDEMN,10/07/2025,CONDEMN-104-14-082,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,104-14-082,,No,,No,No,St.Clair-Superior,Condemned,,
,,,,OH,,10708 Grantwood Ave,Cleveland,OH,44108,Condemned Property,CONDEMN,10/07/2025,CONDEMN-109-16-049,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,109-16-049,,No,,No,No,Glenville,Condemned,,
,,,,OH,,4368 E 156Th St,Cleveland,OH,44128,Condemned Property,CONDEMN,10/07/2025,CONDEMN-142-13-057,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,142-13-057,,No,,No,No,Lee-Seville,Condemned,,
,,,,OH,,9114 Wade Park Ave,Cleveland,OH,44106,Condemned Property,CONDEMN,10/06/2025,CONDEMN-107-17-002,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,107-17-002,,No,,No,No,Hough,Condemned,,
,,,,OH,,2249 E 81St St,Cleveland,OH,44103,Condemned Property,CONDEMN,10/03/2025,CONDEMN-119-27-033,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,119-27-033,,No,,No,No,Fairfax,Condemned,,
,,,,OH,,12012 Holborn Ave,Cleveland,OH,44105,Condemned Property,CONDEMN,10/02/2025,CONDEMN-137-09-100,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,137-09-100,,No,,No,No,Mount Pleasant,Condemned,,
,,,,OH,,3122 W 71St St,Cleveland,OH,44102,Condemned Property,CONDEMN,10/01/2025,CONDEMN-006-29-080,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,006-29-080,,No,,No,No,West Boulevard,Condemned,,
